,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
lucina
</h1>","
		Jab 1
		","
		5
		","
		-16
		","
		5—6
		"
1,"<h1 class=""charactername"">
lucina
</h1>","
		Jab 2
		","
		4
		","
		-19
		","
		4—5
		"
2,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Tilt
		","
		8
		","
		-15
		","
		8—11
		"
3,"<h1 class=""charactername"">
lucina
</h1>","
		Up Tilt
		","
		6
		","
		-19
		","
		6—8/9—12
		"
4,"<h1 class=""charactername"">
lucina
</h1>","
		Down Tilt
		","
		7
		","
		-8
		","
		7—8
		"
5,"<h1 class=""charactername"">
lucina
</h1>","
		Dash Attack
		","
		13
		","
		-21
		","
		13—16
		"
6,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Smash
		","
		10
		","
		-31
		","
		10—13
		"
7,"<h1 class=""charactername"">
lucina
</h1>","
		Up Smash
		","
		13
		","
		-41/-35
		","
		13—14/13—17
		"
8,"<h1 class=""charactername"">
lucina
</h1>","
		Down Smash
		","
		6/21
		","
		-42/-24
		","
		6—7/21—23
		"
9,"<h1 class=""charactername"">
lucina
</h1>","
		Neutral Air
		","
		6/15
		","
		-4/-3
		","
		6—7/15—21
		"
10,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Air
		","
		6
		","
		-6
		","
		6—8
		"
11,"<h1 class=""charactername"">
lucina
</h1>","
		Back Air
		","
		7
		","
		-5
		","
		7—11
		"
12,"<h1 class=""charactername"">
lucina
</h1>","
		Up Air
		","
		5
		","
		-3
		","
		5—9
		"
13,"<h1 class=""charactername"">
lucina
</h1>","
		Down Air
		","
		9/11
		","
		-9/-9
		","
		9—13/11
		"
14,"<h1 class=""charactername"">
lucina
</h1>","
		Neutral B (Shieldbreaker)
		","
		19—78
		","
		-23 to Shieldbreak
		","
		19—20 (or frames 1—2 after release)
		"
15,"<h1 class=""charactername"">
lucina
</h1>","
		Side B (Dancing Blade)
		","
		9
		","
		-26/-16
		","
		9—11
		"
16,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 2 Neutral
		","
		5
		","
		-29
		","
		5—7
		"
17,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 3 Neutral
		","
		4
		","
		-35
		","
		4—6
		"
18,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 4 Neutral
		","
		7
		","
		-43
		","
		7—9
		"
19,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 2 Up
		","
		4
		","
		-30
		","
		4—7
		"
20,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 3 Up
		","
		5
		","
		-34
		","
		5—7
		"
21,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 4 Up
		","
		6
		","
		-32
		","
		6—10
		"
22,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 3 Down
		","
		5
		","
		-34
		","
		5—7
		"
23,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 4 Down
		","
		7
		","
		-50
		","
		7/10/13/16/19—21
		"
24,"<h1 class=""charactername"">
lucina
</h1>","
		Up B (Dolphin Slash)
		","
		5
		","
		--
		","
		5—6/6—11
		"
25,"<h1 class=""charactername"">
lucina
</h1>","
		Down B (Counter)
		","
		6 (Start of Counter)
		","
		--
		","
		**
		"
26,"<h1 class=""charactername"">
lucina
</h1>","
		Counter, Attack
		","
		4
		","
		--
		","
		4—7
		"
27,"<h1 class=""charactername"">
lucina
</h1>","
		Grab
		","
		6
		","
		--
		","
		6—7
		"
28,"<h1 class=""charactername"">
lucina
</h1>","
		Dash Grab
		","
		9
		","
		--
		","
		9—10
		"
29,"<h1 class=""charactername"">
lucina
</h1>","
		Pivot Grab
		","
		10
		","
		--
		","
		10—11
		"
30,"<h1 class=""charactername"">
lucina
</h1>","
		Pummel
		","
		1
		","
		--
		","
		10—11
		"
31,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Throw
		","
		18
		","
		--
		","
		10—11
		"
32,"<h1 class=""charactername"">
lucina
</h1>","
		Backward Throw
		","
		19
		","
		--
		","
		10—11
		"
33,"<h1 class=""charactername"">
lucina
</h1>","
		Up Throw
		","
		13
		","
		--
		","
		10—11
		"
34,"<h1 class=""charactername"">
lucina
</h1>","
		Down Throw
		","
		20
		","
		--
		","
		10—11
		"
35,"<h1 class=""charactername"">
lucina
</h1>","
		Spot Dodge
		","
		20
		","
		--
		","
		10—11
		"
36,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Roll
		","
		20
		","
		--
		","
		10—11
		"
37,"<h1 class=""charactername"">
lucina
</h1>","
		Backward Roll
		","
		20
		","
		--
		","
		10—11
		"
38,"<h1 class=""charactername"">
lucina
</h1>","
		Neutral Air Dodge
		","
		20
		","
		--
		","
		10—11
		"
39,"<h1 class=""charactername"">
lucina
</h1>","
		Air Dodge, Down
		","
		20
		","
		--
		","
		10—11
		"
